Scenario,Simulation_Length,Run_Simulation,Run_From_Outputs,Run_Postprocessing,Generate_Graphs,Scenario_label,Plant_Density,Inter_Row,constant_Conc_Nitrates,constant_Conc_Nitrates_U,PAR,METEO_FILENAME,Inputs_Dirpath,P_roots,growthwheat:VMAX_ROOTS_GROWTH_PREFLO,growthwheat:K_ROOTS_GROWTH,growthwheat:N_ROOTS_GROWTH,elongwheat:delta_TT_GA,elongwheat:max_nb_leaves,senescwheat:AGE_EFFECT_SENESCENCE,elongwheat:SL_ratio_a,elongwheat:SL_ratio_b,elongwheat:SL_ratio_c,elongwheat:SL_ratio_d,growthwheat:MSTRUCT_ROOTS_BEG_LINEAR_GROWTH,senescwheat:LAG_SENESCENCE_ROOTS,elongwheat:leaf_Lmax_MAX,elongwheat:leaf_LSSW_a
9001,500,True,False,False,False,N15U_PAR500_D500_PRoots3,500,0.15,107142.8571,15,500,meteo_PAR500.csv,,3,0.01539,6000,1.8,10000000000,50,400,0,0,0.01763,0.25,100,21600000,0.45,0.000005
9002,500,True,False,False,False,N25U_PAR500_D500_PRoots3,500,0.15,178571.4286,25,500,meteo_PAR500.csv,,3,0.01539,6000,1.8,10000000000,50,400,0,0,0.01763,0.25,100,21600000,0.45,0.000005
9003,500,True,False,False,False,N50U_PAR500_D500_PRoots3,500,0.15,357142.8571,50,500,meteo_PAR500.csv,,3,0.01539,6000,1.8,10000000000,50,400,0,0,0.01763,0.25,100,21600000,0.45,0.000005
9004,500,True,False,False,False,N100U_PAR500_D500_PRoots3,500,0.15,714285.7143,100,500,meteo_PAR500.csv,,3,0.01539,6000,1.8,10000000000,50,400,0,0,0.01763,0.25,100,21600000,0.45,0.000005
9005,500,True,False,False,False,N15U_PAR1000_D500_PRoots3,500,0.15,107142.8571,15,1000,meteo_PAR1000.csv,,3,0.01539,6000,1.8,10000000000,50,400,0,0,0.01763,0.25,100,21600000,0.45,0.000005
9006,500,True,False,False,False,N25U_PAR1000_D500_PRoots3,500,0.15,178571.4286,25,1000,meteo_PAR1000.csv,,3,0.01539,6000,1.8,10000000000,50,400,0,0,0.01763,0.25,100,21600000,0.45,0.000005
9007,500,True,False,False,False,N50U_PAR1000_D500_PRoots3,500,0.15,357142.8571,50,1000,meteo_PAR1000.csv,,3,0.01539,6000,1.8,10000000000,50,400,0,0,0.01763,0.25,100,21600000,0.45,0.000005
9008,500,True,False,False,False,N100U_PAR1000_D500_PRoots3,500,0.15,714285.7143,100,1000,meteo_PAR1000.csv,,3,0.01539,6000,1.8,10000000000,50,400,0,0,0.01763,0.25,100,21600000,0.45,0.000005
9009,500,True,False,False,False,N15U_PAR1500_D500_PRoots3,500,0.15,107142.8571,15,1500,meteo_PAR1500.csv,,3,0.01539,6000,1.8,10000000000,50,400,0,0,0.01763,0.25,100,21600000,0.45,0.000005
9010,500,True,False,False,False,N25U_PAR1500_D500_PRoots3,500,0.15,178571.4286,25,1500,meteo_PAR1500.csv,,3,0.01539,6000,1.8,10000000000,50,400,0,0,0.01763,0.25,100,21600000,0.45,0.000005
9011,500,True,False,False,False,N50U_PAR1500_D500_PRoots3,500,0.15,357142.8571,50,1500,meteo_PAR1500.csv,,3,0.01539,6000,1.8,10000000000,50,400,0,0,0.01763,0.25,100,21600000,0.45,0.000005
9012,500,True,False,False,False,N100U_PAR1500_D500_PRoots3,500,0.15,714285.7143,100,1500,meteo_PAR1500.csv,,3,0.01539,6000,1.8,10000000000,50,400,0,0,0.01763,0.25,100,21600000,0.45,0.000005
